wavelength,coeff
461.83887000000004,1.0710414602532092
461.85427999999996,1.0709349058168107
461.86965999999995,1.07082861174384
461.88507000000004,1.0707221633234245
461.90045,1.0706159749810913
461.91585999999995,1.0705096324185202
461.93124000000006,1.0704035496491466
461.94665999999995,1.0702972438635423
461.96207000000004,1.0701910598776012
461.97745,1.0700851352581764
461.99285999999995,1.0699790567359713
462.00824000000006,1.0698732372965567
462.02365,1.069767264081041
462.03902999999997,1.0696615496650548
462.05444000000006,1.069555681599495
462.06982,1.0694500720506641
462.08524000000006,1.0693442403629334
462.10062,1.0692387355592776
462.11602999999997,1.0691330773587011
462.13140999999996,1.0690276771105327
462.14682,1.068922123591527
462.1622,1.068816827743502
462.17760999999996,1.0687113787505713
462.19299,1.0686061871476518
462.2084,1.0685008425256113
462.22379000000006,1.0683956867025852
462.2392,1.0682904463303784
462.25458,1.0681854627875162
462.26999000000006,1.068080326476696
462.2854,1.0679752421893223
462.30078,1.0678704143119169
462.31619000000006,1.0677654338545695
462.33157,1.0676607095282624
462.34698,1.0675558327471308
462.36237,1.0674511438113392
462.37778,1.0673463705865167
462.39315999999997,1.0672418529361383
462.40857,1.0671371830807714
462.42395,1.0670327685222716
462.43935999999997,1.0669282018834603
462.45474,1.0668238902643872
462.47015,1.0667194266895317
462.48553,1.0666152178577315
462.50095,1.0665107894885515
462.51633,1.06640668332548
462.53174,1.0663024254552873
462.54712,1.0661984217760327
462.56253,1.0660942665137487
462.57791,1.0659903651670553
462.59332,1.0658863123612763
462.60873,1.0657823107769082
462.62411,1.06567856269581
462.63953,1.0655745959345952
462.65491,1.0654709498422341
462.67032,1.0653671526001125
462.6857,1.0652636083131346
462.70110999999997,1.0651599129998315
462.71649,1.0650564703683136
462.7319,1.0649528768337608
462.74728,1.064849535708075
462.7627,1.0647459766600742
462.77808,1.0646427369237792
462.79349,1.064539346530639
462.80887,1.064436208001751
462.82428,1.0643329189388744
462.83966,1.0642298814686437
462.85507,1.0641266935871372
462.87045,1.0640237570271065
462.88586,1.0639206701783683
462.90125,1.0638177675334002
462.91666,1.0637147816018602
462.93207,1.0636118461060742
462.94745,1.063509161255515
462.96286,1.063406326422142
462.97824,1.0633037419643419
462.99365,1.0632010076457952
463.00903,1.0630985234335988
463.02444,1.0629958894825804
463.03983,1.062893438815726
463.05524,1.06279090511775
463.07062,1.0626886209888802
463.08603,1.0625861873646503
463.10141,1.0624840030415916
463.11682,1.0623816693446673
463.1322,1.062279584681409
463.14761,1.0621773507656396
463.16299000000004,1.0620753656164563
463.17841,1.0619731650742286
463.19379000000004,1.0618712793259277
463.2092,1.06176924456744
463.22458,1.0616674580425676
463.23999000000003,1.0615655226284373
463.2554,1.0614636368804142
463.27078,1.0613619989673295
463.28619000000003,1.0612602123461734
463.30157,1.0611586732947866
463.31699000000003,1.0610569196838917
463.33237,1.0609554793820672
463.34778,1.060853890613226
463.36315999999994,1.0607525488849907
463.37857,1.0606510588100304
463.39395,1.0605498155117705
463.40935999999994,1.0604484239869418
463.42474000000004,1.0603472789753239
463.44015999999993,1.06024592014106
463.45554000000004,1.0601448733048804
463.47095,1.0600436784820613
463.48633,1.0599427296466453
463.50174000000004,1.059841632944325
463.51712000000003,1.0597407819671718
463.53253,1.0596397832427087
463.54790999999994,1.0595390299815945
463.56332000000003,1.0594381290926247
463.57874000000004,1.0593372116857698
463.59412000000003,1.0592366048117539
463.60953,1.0591358504889041
463.62490999999994,1.0590353409764546
463.64032000000003,1.058934684134279
463.6557,1.0588342718421322
463.67110999999994,1.0587337123392284
463.68649000000005,1.0586333971263941
463.7019,1.0585329348216348
463.71729000000005,1.0584326514017077
463.7327,1.058332286185738
463.74807999999996,1.0582321647410646
463.76349000000005,1.0581318964417523
463.77887000000004,1.058031871655008
463.79427999999996,1.057931700132045
463.80965999999995,1.0578317718633263
463.82507000000004,1.0577316969766681
463.84045,1.0576318650863428
463.85587000000004,1.0575318218329812
463.87125,1.0574320862129172
463.88665999999995,1.057332204211099
463.90207000000004,1.0572323703824178
463.91745,1.0571327789068552
463.93285999999995,1.057033041226345
463.94824000000006,1.0569335456424584
463.96365,1.0568339039712886
463.97902999999997,1.056734504140652
463.99445,1.056634893757639
464.00982999999997,1.056535589573122
464.02524000000005,1.0564361395362745
464.04062000000005,1.056336930828905
464.05602999999996,1.0562375763864613
464.07140999999996,1.0561384630186106
464.08682000000005,1.0560392040328006
464.1022,1.0559401858671023
464.11760999999996,1.0558410222004277
464.13300000000004,1.0557420347959021
464.14840999999996,1.0556429663420155
464.16379000000006,1.0555441382003854
464.1792,1.0554451647913767
464.19458,1.0553464314413383
464.20999000000006,1.0552475529404957
464.2254,1.0551487218887219
464.24078,1.0550501305166071
464.2562,1.0549513301108275
464.27158,1.054852833220595
464.28699000000006,1.0547541914705023
464.30237,1.054655788895791
464.31777999999997,1.0545572415773246
464.33315999999996,1.0544589331827317
464.34857,1.0543604801603546
464.36395,1.0542622658107366
464.37935999999996,1.0541639069491702
464.39474,1.0540657865096419
464.41015999999996,1.053967457922206
464.42554,1.0538694312885741
464.44095,1.0537712603743046
464.45633,1.053673327381722
464.47174,1.0535752502239348
464.48712,1.0534774107382876
464.50253,1.0533794272027377
464.51791,1.0532816810901682
464.53333,1.053183727534328
464.54874,1.0530858842567807
464.56412,1.0529882780290012
464.57953,1.0528905280390863
464.59490999999997,1.0527930148507492
464.61032,1.052695358015112
464.6257,1.0525979377332504
464.64110999999997,1.0525003739187946
464.65649,1.052403046410695
464.67190999999997,1.05230551224792
464.68729,1.0522082774111898
